id,status,sortOrder,title,sub-title,pagecount,author,category,host,hostRole,hostLinkedIn,spotsLeft,spotsTotal,sessionCount,cadence,price,bookCoverUrl,hostPhotoUrl,buyBookUrl,formUrl,homeworkFormUrl,communityPlatform,communityChannelName,communityUrl,communityInstructions
ai-snake-oil,published,11,AI Snake Oil,,,Arvind Narayanan and Sayash Kapoor,Technology & Society,Aisha,ML engineer and skeptical AI practitioner,https://www.linkedin.com/in/REPLACE,2,8,6,"Weekly, Sundays",$9,https://m.media-amazon.com/images/I/819XVWya1TL._SL1500_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/aisha.jpg,https://www.amazon.com/s?k=AI+Snake+Oil+Arvind+Narayanan,https://forms.gle/REPLACE_SNAKEOIL_REG,https://forms.gle/REPLACE_SNAKEOIL_HW,Slack,#ai-snake-oil-cohort,,Slack invite sent after registration.
the-scaling-era,published,12,"The Scaling Era: An Oral History of AI, 2019â€“2025",,,Dwarkesh Patel and Gavin Leech,Technology & Society,Marcus,AI founder and operator,https://www.linkedin.com/in/REPLACE,6,8,6,"Weekly, Wednesdays",$9,https://m.media-amazon.com/images/I/31hZKYE-2nL._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/marcus.jpg,https://www.amazon.com/s?k=The+Scaling+Era+Dwarkesh+Patel,https://forms.gle/REPLACE_SCALING_REG,https://forms.gle/REPLACE_SCALING_HW,Slack,#scaling-era-cohort,,Slack invite sent after registration.
the-wealth-of-nations,published,13,The Wealth of Nations,,,Adam Smith,Economics & Money,Naveen,Classical economics reader,https://www.linkedin.com/in/REPLACE,6,8,10,"Weekly, Mondays",$9,https://m.media-amazon.com/images/I/71yqXZeTuxL._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/naveen.jpg,https://www.amazon.com/s?k=The+Wealth+of+Nations+Adam+Smith,https://forms.gle/REPLACE_WEALTH_REG,,Slack,#wealth-of-nations-cohort,,Slack invite sent after registration.
thinking-fast-and-slow,published,14,"Thinking, Fast and Slow",,,Daniel Kahneman,Mind & Behavior,Aisha,Cognitive science reader,https://www.linkedin.com/in/REPLACE,3,8,7,"Weekly, Sundays",$9,https://m.media-amazon.com/images/I/61fdrEuPJwL._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/aisha.jpg,https://www.amazon.com/s?k=Thinking+Fast+and+Slow+Kahneman,https://forms.gle/REPLACE_TFS_REG,https://forms.gle/REPLACE_TFS_HW,Slack,#thinking-fast-slow-cohort,,Slack invite sent after registration.
godel-escher-bach,published,15,"GÃ¶del, Escher, Bach: An Eternal Golden Braid",,,Douglas Hofstadter,Mind & Behavior,Naveen,Cognition and computation reader,https://www.linkedin.com/in/REPLACE,2,8,10,"Weekly, Saturdays",$9,https://m.media-amazon.com/images/I/41INj3LR-kL._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/naveen.jpg,https://www.amazon.com/s?k=Godel+Escher+Bach+Hofstadter,https://forms.gle/REPLACE_GEB_REG,https://forms.gle/REPLACE_GEB_HW,Slack,#geb-cohort,,Slack invite sent after registration.
the-denial-of-death,published,16,The Denial of Death,,,Ernest Becker,Mind & Behavior,Priya,Philosophy and psychology reader,https://www.linkedin.com/in/REPLACE,5,8,6,"Weekly, Wednesdays",$9,https://m.media-amazon.com/images/I/61p5bGAh3mL._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/priya.jpg,https://www.amazon.com/s?k=The+Denial+of+Death+Ernest+Becker,https://forms.gle/REPLACE_DENIAL_REG,,Slack,#denial-of-death-cohort,,Slack invite sent after registration.
being-and-time,published,17,Being and Time,,,Martin Heidegger,Philosophy,Marcus,Continental philosophy reader,https://www.linkedin.com/in/REPLACE,4,8,10,"Weekly, Thursdays",$9,https://m.media-amazon.com/images/I/6150bIphneL._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/marcus.jpg,https://www.amazon.com/s?k=Being+and+Time+Heidegger,https://forms.gle/REPLACE_BEING_REG,https://forms.gle/REPLACE_BEING_HW,Slack,#being-and-time-cohort,,Slack invite sent after registration.
the-republic,published,18,The Republic,,,Plato,Philosophy,Priya,Classical philosophy reader,https://www.linkedin.com/in/REPLACE,6,8,8,"Weekly, Mondays",$9,https://m.media-amazon.com/images/I/417nh6E9wZL._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/priya.jpg,https://www.amazon.com/s?k=The+Republic+Plato,https://forms.gle/REPLACE_REPUBLIC_REG,,Slack,#republic-cohort,,Slack invite sent after registration.
meditations,published,19,Meditations,,,Marcus Aurelius,Philosophy,Aisha,Stoic philosophy reader,https://www.linkedin.com/in/REPLACE,3,8,6,"Weekly, Sundays",$9,https://m.media-amazon.com/images/I/41EI-z+FDML._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/aisha.jpg,https://www.amazon.com/s?k=Meditations+Marcus+Aurelius,https://forms.gle/REPLACE_MEDITATIONS_REG,,Slack,#meditations-cohort,,Slack invite sent after registration.
the-gulag-archipelago,published,20,The Gulag Archipelago,,,Aleksandr Solzhenitsyn,History & Civilization,Marcus,20th century history reader,https://www.linkedin.com/in/REPLACE,4,8,8,"Weekly, Tuesdays",$9,https://m.media-amazon.com/images/I/71m4x9+UKHL._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/marcus.jpg,https://www.amazon.com/s?k=The+Gulag+Archipelago+Solzhenitsyn,https://forms.gle/REPLACE_GULAG_REG,https://forms.gle/REPLACE_GULAG_HW,Slack,#gulag-cohort,,Slack invite sent after registration.
the-origins-of-totalitarianism,published,21,The Origins of Totalitarianism,,,Hannah Arendt,History & Civilization,Priya,Political theory reader,https://www.linkedin.com/in/REPLACE,5,8,8,"Weekly, Wednesdays",$9,https://m.media-amazon.com/images/I/419Gt2rIKRL._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/priya.jpg,https://www.amazon.com/s?k=The+Origins+of+Totalitarianism+Arendt,https://forms.gle/REPLACE_ORIGINS_REG,,Slack,#totalitarianism-cohort,,Slack invite sent after registration.
guns-germs-and-steel,published,22,"Guns, Germs, and Steel",,,Jared Diamond,History & Civilization,Naveen,Big history reader,https://www.linkedin.com/in/REPLACE,6,8,7,"Weekly, Saturdays",$9,https://m.media-amazon.com/images/I/61V8g4GgqdL._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/naveen.jpg,https://www.amazon.com/s?k=Guns+Germs+and+Steel+Jared+Diamond,https://forms.gle/REPLACE_GUNS_REG,https://forms.gle/REPLACE_GUNS_HW,Slack,#guns-germs-steel-cohort,,Slack invite sent after registration.
the-selfish-gene,published,23,The Selfish Gene,,,Richard Dawkins,Science,Aisha,Evolutionary biology reader,https://www.linkedin.com/in/REPLACE,3,8,6,"Weekly, Thursdays",$9,https://m.media-amazon.com/images/I/41JhGSrdnML._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/aisha.jpg,https://www.amazon.com/s?k=The+Selfish+Gene+Richard+Dawkins,https://forms.gle/REPLACE_SELFISH_REG,,Slack,#selfish-gene-cohort,,Slack invite sent after registration.
the-structure-of-scientific-revolutions,published,24,The Structure of Scientific Revolutions,,,Thomas Kuhn,Science,Marcus,Philosophy of science reader,https://www.linkedin.com/in/REPLACE,4,8,5,"Weekly, Mondays",$9,https://m.media-amazon.com/images/I/71qNW+I214L._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/marcus.jpg,https://www.amazon.com/s?k=Structure+of+Scientific+Revolutions+Kuhn,https://forms.gle/REPLACE_KUHN_REG,https://forms.gle/REPLACE_KUHN_HW,Slack,#scientific-revolutions-cohort,,Slack invite sent after registration.
the-beginning-of-infinity,published,25,The Beginning of Infinity,,,David Deutsch,Science,Naveen,Physics and epistemology reader,https://www.linkedin.com/in/REPLACE,2,8,7,"Weekly, Sundays",$9,https://m.media-amazon.com/images/I/410lB8vd8zL._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/naveen.jpg,https://www.amazon.com/s?k=The+Beginning+of+Infinity+David+Deutsch,https://forms.gle/REPLACE_INFINITY_REG,https://forms.gle/REPLACE_INFINITY_HW,Slack,#beginning-infinity-cohort,,Slack invite sent after registration.
the-master-and-his-emissary,published,26,The Master and His Emissary,,,Iain McGilchrist,Mind & Behavior,Priya,Neuroscience and culture reader,https://www.linkedin.com/in/REPLACE,5,8,8,"Weekly, Tuesdays",$9,https://m.media-amazon.com/images/I/512WSJWwooL._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/priya.jpg,https://www.amazon.com/s?k=The+Master+and+His+Emissary+McGilchrist,https://forms.gle/REPLACE_MASTER_REG,,Slack,#master-emissary-cohort,,Slack invite sent after registration.
seeing-like-a-state,published,27,Seeing Like a State,,,James C. Scott,Politics & Power,Marcus,Political economy reader,https://www.linkedin.com/in/REPLACE,4,8,6,"Weekly, Wednesdays",$9,https://m.media-amazon.com/images/I/41mvONPaoeL._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/marcus.jpg,https://www.amazon.com/s?k=Seeing+Like+a+State+James+Scott,https://forms.gle/REPLACE_SEEING_REG,https://forms.gle/REPLACE_SEEING_HW,Slack,#seeing-like-state-cohort,,Slack invite sent after registration.
the-better-angels-of-our-nature,published,28,The Better Angels of Our Nature,,,Steven Pinker,History & Civilization,Aisha,Social science reader,https://www.linkedin.com/in/REPLACE,6,8,9,"Weekly, Thursdays",$9,https://m.media-amazon.com/images/I/7159l4ShI-L._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/aisha.jpg,https://www.amazon.com/s?k=The+Better+Angels+of+Our+Nature+Pinker,https://forms.gle/REPLACE_ANGELS_REG,,Slack,#better-angels-cohort,,Slack invite sent after registration.
the-brothers-karamazov,published,29,The Brothers Karamazov,,,Fyodor Dostoevsky,Literature & Ideas,Priya,Literature and philosophy reader,https://www.linkedin.com/in/REPLACE,3,8,10,"Weekly, Sundays",$9,https://m.media-amazon.com/images/I/41kXJvIeQqL._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/priya.jpg,https://www.amazon.com/s?k=The+Brothers+Karamazov+Dostoevsky,https://forms.gle/REPLACE_KARAMAZOV_REG,https://forms.gle/REPLACE_KARAMAZOV_HW,Slack,#karamazov-cohort,,Slack invite sent after registration.
infinite-jest,published,30,Infinite Jest,,,David Foster Wallace,Literature & Ideas,Marcus,Contemporary literature reader,https://www.linkedin.com/in/REPLACE,2,8,12,"Weekly, Mondays",$9,https://m.media-amazon.com/images/I/41EVmXIgpDL._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/marcus.jpg,https://www.amazon.com/s?k=Infinite+Jest+David+Foster+Wallace,https://forms.gle/REPLACE_JEST_REG,https://forms.gle/REPLACE_JEST_HW,Slack,#infinite-jest-cohort,,Slack invite sent after registration.
the-society-of-mind,published,31,The Society of Mind,,,Marvin Minsky,Technology & Society,Naveen,AI and cognition reader,https://www.linkedin.com/in/REPLACE,5,8,7,"Weekly, Saturdays",$9,https://m.media-amazon.com/images/I/41G3c1EXARL._SX342_SY445_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/naveen.jpg,https://www.amazon.com/s?k=The+Society+of+Mind+Marvin+Minsky,https://forms.gle/REPLACE_SOCIETY_REG,,Slack,#society-of-mind-cohort,,Slack invite sent after registration.
